station,avg_boardings_per_day,latitude,longitude,agency
Far Rockaway-Mott Av (A),2421.0,40.603996,-73.7554,NYC Subway
Norwood-205 St (D),3665.0,40.87481,-73.87885,NYC Subway
"Bedford Park Blvd (B,D)",3173.0,40.873245,-73.88714,NYC Subway
"Kingsbridge Rd (B,D)",3102.0,40.866978,-73.89351,NYC Subway
"Fordham Rd (B,D)",4388.0,40.861298,-73.89775,NYC Subway
"182-183 Sts (B,D)",2338.0,40.856094,-73.90074,NYC Subway
"Tremont Av (B,D)",3772.0,40.85041,-73.90523,NYC Subway
"174-175 Sts (B,D)",1917.0,40.8459,-73.91013,NYC Subway
"170 St (B,D)",2746.0,40.839306,-73.9134,NYC Subway
"167 St (B,D)",3721.0,40.83377,-73.91844,NYC Subway
"Rector St (R,W)",1807.0,40.70722,-74.01334,NYC Subway
"155 St (B,D)",1516.0,40.830135,-73.93821,NYC Subway
21 St-Queensbridge (F),5022.0,40.754204,-73.94283,NYC Subway
Roosevelt Island (F),4463.0,40.759144,-73.95326,NYC Subway
"Lexington Av/63 St (F,Q)",5660.0,40.76463,-73.96611,NYC Subway
57 St (F),2811.0,40.763973,-73.97745,NYC Subway
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",10235.0,40.758663,-73.98133,NYC Subway
"23 St (F,M)",8579.0,40.742878,-73.99282,NYC Subway
"Grand St (B,D)",7002.0,40.718266,-73.99375,NYC Subway
2 Av (F),5570.0,40.7234,-73.98994,NYC Subway
East Broadway (F),5562.0,40.713715,-73.99017,NYC Subway
York St (F),4262.0,40.701397,-73.98675,NYC Subway
"Bergen St (F,G)",4195.0,40.686146,-73.99086,NYC Subway
"Carroll St (F,G)",4974.0,40.6803,-73.99505,NYC Subway
"Smith-9 Sts (F,G)",1566.0,40.67358,-73.99596,NYC Subway
"7 Av (F,G)",5318.0,40.66627,-73.98031,NYC Subway
"15 St-Prospect Park (F,G)",2917.0,40.660366,-73.97949,NYC Subway
"Fort Hamilton Pkwy (F,G)",3328.0,40.650784,-73.97578,NYC Subway
"Church Av (F,G)",5173.0,40.64404,-73.979675,NYC Subway
Ditmas Av (F),2090.0,40.63612,-73.97817,NYC Subway
18 Av (F),1859.0,40.629753,-73.976974,NYC Subway
Avenue I (F),811.0,40.62532,-73.97613,NYC Subway
Bay Pkwy (F),635.0,40.62077,-73.975266,NYC Subway
Avenue N (F),1550.0,40.61514,-73.9742,NYC Subway
Avenue P (F),1512.0,40.608944,-73.97302,NYC Subway
Kings Hwy (F),2045.0,40.603218,-73.97236,NYC Subway
Avenue U (F),1146.0,40.59606,-73.97336,NYC Subway
Avenue X (F),1479.0,40.58962,-73.97425,NYC Subway
